Sensor,x_pos,y_pos,mab,Day C10_PDT dev.,Day C16_PDT dev.,Day C19_PDT dev.,Day C1_PDT dev.,Day C20_PDT dev.,Day C2_PDT dev.,Day P11_PDT dev.,Day P12_PDT dev.,Day P13_PDT dev.,Day P14_PDT dev.,Day P15_PDT dev.,Day P17_PDT dev.,Day P18_PDT dev.,Day P3_PDT dev.,Day P4_PDT dev.,Day P5_PDT dev.,Day P6_PDT dev.,Day P7_PDT dev.,Day P8_PDT dev.,Day P9_PDT dev.,Day nan dev.,Day C10_PDT dev. hour 1,Day C16_PDT dev. hour 1,Day C19_PDT dev. hour 1,Day C1_PDT dev. hour 1,Day C20_PDT dev. hour 1,Day C2_PDT dev. hour 1,Day P11_PDT dev. hour 1,Day P12_PDT dev. hour 1,Day P13_PDT dev. hour 1,Day P14_PDT dev. hour 1,Day P15_PDT dev. hour 1,Day P17_PDT dev. hour 1,Day P18_PDT dev. hour 1,Day P3_PDT dev. hour 1,Day P4_PDT dev. hour 1,Day P5_PDT dev. hour 1,Day P6_PDT dev. hour 1,Day P7_PDT dev. hour 1,Day P8_PDT dev. hour 1,Day P9_PDT dev. hour 1,Day nan dev. hour 1,Day C10_PDT dev. hour 2,Day C16_PDT dev. hour 2,Day C19_PDT dev. hour 2,Day C1_PDT dev. hour 2,Day C20_PDT dev. hour 2,Day C2_PDT dev. hour 2,Day P11_PDT dev. hour 2,Day P12_PDT dev. hour 2,Day P13_PDT dev. hour 2,Day P14_PDT dev. hour 2,Day P15_PDT dev. hour 2,Day P17_PDT dev. hour 2,Day P18_PDT dev. hour 2,Day P3_PDT dev. hour 2,Day P4_PDT dev. hour 2,Day P5_PDT dev. hour 2,Day P6_PDT dev. hour 2,Day P7_PDT dev. hour 2,Day P8_PDT dev. hour 2,Day P9_PDT dev. hour 2,Day nan dev. hour 2,Day C10_PDT dev. hour 3,Day C16_PDT dev. hour 3,Day C19_PDT dev. hour 3,Day C1_PDT dev. hour 3,Day C20_PDT dev. hour 3,Day C2_PDT dev. hour 3,Day P11_PDT dev. hour 3,Day P12_PDT dev. hour 3,Day P13_PDT dev. hour 3,Day P14_PDT dev. hour 3,Day P15_PDT dev. hour 3,Day P17_PDT dev. hour 3,Day P18_PDT dev. hour 3,Day P3_PDT dev. hour 3,Day P4_PDT dev. hour 3,Day P5_PDT dev. hour 3,Day P6_PDT dev. hour 3,Day P7_PDT dev. hour 3,Day P8_PDT dev. hour 3,Day P9_PDT dev. hour 3,Day nan dev. hour 3,Day C10_PDT pumping,Day C16_PDT pumping,Day C19_PDT pumping,Day C1_PDT pumping,Day C20_PDT pumping,Day C2_PDT pumping,Day P11_PDT pumping,Day P12_PDT pumping,Day P13_PDT pumping,Day P14_PDT pumping,Day P15_PDT pumping,Day P17_PDT pumping,Day P18_PDT pumping,Day P3_PDT pumping,Day P4_PDT pumping,Day P5_PDT pumping,Day P6_PDT pumping,Day P7_PDT pumping,Day P8_PDT pumping,Day P9_PDT pumping,Day nan pumping,Day C10_PDT pumping hour 1,Day C16_PDT pumping hour 1,Day C19_PDT pumping hour 1,Day C1_PDT pumping hour 1,Day C20_PDT pumping hour 1,Day C2_PDT pumping hour 1,Day P11_PDT pumping hour 1,Day P12_PDT pumping hour 1,Day P13_PDT pumping hour 1,Day P14_PDT pumping hour 1,Day P15_PDT pumping hour 1,Day P17_PDT pumping hour 1,Day P18_PDT pumping hour 1,Day P3_PDT pumping hour 1,Day P4_PDT pumping hour 1,Day P5_PDT pumping hour 1,Day P6_PDT pumping hour 1,Day P7_PDT pumping hour 1,Day P8_PDT pumping hour 1,Day P9_PDT pumping hour 1,Day nan pumping hour 1,Day C10_PDT pumping hour 2,Day C16_PDT pumping hour 2,Day C19_PDT pumping hour 2,Day C1_PDT pumping hour 2,Day C20_PDT pumping hour 2,Day C2_PDT pumping hour 2,Day P11_PDT pumping hour 2,Day P12_PDT pumping hour 2,Day P13_PDT pumping hour 2,Day P14_PDT pumping hour 2,Day P15_PDT pumping hour 2,Day P17_PDT pumping hour 2,Day P18_PDT pumping hour 2,Day P3_PDT pumping hour 2,Day P4_PDT pumping hour 2,Day P5_PDT pumping hour 2,Day P6_PDT pumping hour 2,Day P7_PDT pumping hour 2,Day P8_PDT pumping hour 2,Day P9_PDT pumping hour 2,Day nan pumping hour 2,Day C10_PDT pumping hour 3,Day C16_PDT pumping hour 3,Day C19_PDT pumping hour 3,Day C1_PDT pumping hour 3,Day C20_PDT pumping hour 3,Day C2_PDT pumping hour 3,Day P11_PDT pumping hour 3,Day P12_PDT pumping hour 3,Day P13_PDT pumping hour 3,Day P14_PDT pumping hour 3,Day P15_PDT pumping hour 3,Day P17_PDT pumping hour 3,Day P18_PDT pumping hour 3,Day P3_PDT pumping hour 3,Day P4_PDT pumping hour 3,Day P5_PDT pumping hour 3,Day P6_PDT pumping hour 3,Day P7_PDT pumping hour 3,Day P8_PDT pumping hour 3,Day P9_PDT pumping hour 3,Day nan pumping hour 3
005930,2.4492935982947064e-16,-2.0,0.21,-0.35053850448422796,-0.6761959247314582,0.28188801046035805,-0.008827498032407208,-0.11683208890878079,0.23634265292412676,2.2415394090792837,0.639549169786871,1.3349504113194446,0.2523735179861107,-0.04483197293265125,-0.42420471184143266,2.0315380858226777,1.969932378260869,0.6235945164876393,1.0748937074509808,1.5605720643750003,1.9751915542284744,2.1125158966155158,3.888727661048594,,-0.32879433086956483,-1.2759219674637683,0.17274120268115936,0.10570940891203717,-0.24032680210144922,0.522327850579711,2.991942366304348,0.48912591057971005,1.3356240738194447,0.30965546937499955,0.30814697137681146,-0.5509911723913048,2.243490240362319,1.435301905797101,-0.22247402724637663,0.7490350300000003,1.0496310213194449,1.8391565478985505,1.8739757234057972,4.21191233268116,,-0.5721443366666662,-0.4583318450000004,0.2929650316666666,-0.13142929803240722,-0.04471783833333317,-0.10388543999999962,2.6464751583333332,0.752316103333333,1.8766493946527778,-0.23067452645833372,-0.11054055833333314,-0.46683313833333373,1.8465663816666673,2.3363933666666665,0.7657582800000008,1.443228996666667,2.190007442152778,2.6659966283333336,2.2669992183333334,4.514771761666666,,-0.11070451420289791,-0.21796156913043516,0.39957175434782605,-0.0007626049768515811,-0.05517553376811579,0.3014341272463774,0.8551329613043481,0.6847367605797102,0.7925777654861115,0.6781396110416663,-0.3895564036231883,-0.22090684739130467,1.9991615453623186,2.171735759130434,1.4682802527536243,1.0239217733333337,1.4420777296527778,1.3094674728985511,2.2133841184057976,2.749653134347826,,0.0,0.0,0.0,0.0,0.0,0.0,0.9611111111111111,0.9555555555555555,0.9578947368421052,0.9526315789473685,0.9944444444444444,0.9777777777777779,0.9555555555555555,0.9777777777777779,0.9666666666666666,0.9611111111111111,0.9526315789473685,0.9944444444444444,0.9944444444444444,0.9777777777777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8833333333333333,0.8666666666666667,0.8857142857142858,0.8714285714285713,0.9833333333333334,0.9333333333333332,0.8666666666666667,0.9333333333333332,0.9,0.8833333333333333,0.8714285714285713,0.9833333333333334,0.9833333333333334,0.9333333333333332,0.0
0900,4.330127018922193,2.5000000000000004,0.21,,0.03219660067348598,0.02881664738277922,,0.07197646226768961,,,-0.619338756973572,-0.18603278263888867,-0.25410965298611105,0.03840064323955685,-0.3466763645609548,0.147895891551577,,,,,,,,,,-0.14296349789855153,0.09274555565217395,,-0.04903411710144936,,,-0.5184148378985508,-0.23488439097222205,-0.3023428488194444,-0.11060627014492752,-0.3730682799275365,0.03916099557970979,,,,,,,,,,0.03240332166666585,-0.08406438999999997,,0.16187132999999995,,,-0.9130928849999999,-0.237429665972222,-0.38834753631944424,0.28148024000000016,-0.4054320183333333,0.23279555500000002,,,,,,,,,,0.24214065376811514,0.08755920231884058,,0.109315316231884,,,-0.3879425062318841,-0.08578429097222195,-0.0716385738194444,-0.07448657681159387,-0.2444992815942027,0.17649817057971012,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9555555555555555,0.9578947368421052,0.9526315789473685,0.9944444444444444,0.9777777777777779,0.9555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.8857142857142858,0.8714285714285713,0.9833333333333334,0.9333333333333332,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0902,0.0,5.0,0.21,,1.0394090764023867,0.32157493751918154,,-0.3040196040750216,,,0.9274316728132982,1.322312640625,0.23352794819444447,0.018086177715259895,0.0496713171014493,-0.05607718801364029,,,,,,,,,,1.1430953856521733,-0.3253785673188406,,-0.3537758114492755,,,0.7660270826811583,0.5448229781249997,0.13805095652777752,0.47661904101449276,0.2312385852173914,-0.10391094086956533,,,,,,,,,,1.2369034899999993,0.43172947833333336,,-0.16543772666666703,,,0.9723492616666659,1.8456638906250002,0.4036790481944446,-0.4022361633333335,0.17882222,-0.006102613333333395,,,,,,,,,,0.677992208985507,0.965733694347826,,-0.41061040811594224,,,1.067216074347825,1.576451053125,0.15885383986111132,-0.027766448985507442,-0.3231904881159421,-0.058646174202898506,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9555555555555555,0.9578947368421052,0.9526315789473685,0.9944444444444444,0.9777777777777779,0.9555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.8857142857142858,0.8714285714285713,0.9833333333333334,0.9333333333333332,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1035,-4.330127018922193,2.5000000000000004,0.21,,0.7674615833248087,-0.42180663975277055,,-0.5446085568371679,,,-0.09349429281329881,0.15333631965277755,0.2916762061111105,-0.13483066654731454,0.21783293138959894,0.022864252668371717,,,,,,,,,,0.7861722169565217,-0.85245780673913,,-0.5422256092028963,,,-0.16506213601449252,-0.13368052895833382,0.3482402672222216,-0.1901381540579711,0.5695772160869562,0.26642215927536234,,,,,,,,,,0.6757414466666676,-0.9561974016666667,,-0.546837414999998,,,-0.1482255483333327,0.12034159187499971,0.09635728388888827,0.07620232999999994,0.0919794066666663,0.14530094333333332,,,,,,,,,,0.8550729869565228,0.7362436749275361,,-0.5447934642028974,,,0.058064625652174316,0.47334789604166677,0.4304310672222216,-0.32170127739130405,-0.05323598057971064,-0.41632926405797094,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9555555555555555,0.9578947368421052,0.9526315789473685,0.9944444444444444,0.9777777777777779,0.9555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.8857142857142858,0.8714285714285713,0.9833333333333334,0.9333333333333332,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1039,-4.330127018922192,-2.500000000000002,0.21,,-0.0018068842369993472,0.23710889754475767,,-0.3369113274936065,,,-0.5279156571270247,-0.554867424861111,0.12988695715277768,0.7803495045865307,-0.48645526047740817,0.6275101243222503,,,,,,,,,,-0.44445371094202923,0.35540785014492826,,-0.12257994021739178,,,0.1158996339855068,-0.4460468165277778,-0.1684138859027775,1.253318027391305,-0.40994286043478256,0.5654912647101445,,,,,,,,,,0.5595821049999998,-0.4967409433333328,,-0.49492962500000015,,,-1.0860093783333333,-0.833771174861111,-0.36761633173611097,0.3892924766666674,-0.47812217999999956,0.7038250850000001,,,,,,,,,,-0.1442974792753625,0.9757699634782615,,-0.4044870352173916,,,-0.6307815410144926,-0.38478428319444463,0.9256910890972215,0.6820557107246377,-0.5882698371014492,0.610354803043478,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9555555555555555,0.9578947368421052,0.9526315789473685,0.9944444444444444,0.9777777777777779,0.9555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.8857142857142858,0.8714285714285713,0.9833333333333334,0.9333333333333332,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1041,4.330127018922194,-2.499999999999999,0.21,,0.28063050510656545,-0.27699760414322233,,0.33027247846547303,,,0.065694949556693,-0.41159854618055564,0.08218949250000035,-0.9828720679539641,-0.2605860573998294,0.2944685172719515,,,,,,,,,,0.3501513680434794,-0.4434446257971012,,0.04160736550724575,,,-0.07045067659420272,-0.347142578125,0.45730400916666697,-0.17493451456521716,-0.16941542340579638,0.2408977794202888,,,,,,,,,,0.6152846883333342,-1.40187302,,0.47991309666666665,,,0.27281413500000085,-0.4713587406249998,0.19119262583333393,-1.281450295,-0.4396207516666666,0.27263100333333257,,,,,,,,,,-0.20437955028985363,1.2725893208695656,,0.4971018721739135,,,-0.019473321594201565,-0.4162943197916671,-0.4019281574999998,-1.5941032595652171,-0.1551491850724643,0.38495841942028947,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9555555555555555,0.9578947368421052,0.9526315789473685,0.9944444444444444,0.9777777777777779,0.9555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.8857142857142858,0.8714285714285713,0.9833333333333334,0.9333333333333332,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11F101687,2.4492935982947064e-16,-2.0,2.665,-1.5186805555555558,0.06629861111111118,0.546027777777777,-0.17677083333333338,-0.07163194444444423,0.10799305555555556,0.7597986111111119,1.1717708333333339,0.3159166666666674,-0.09923611111111125,0.1595069444444449,-0.0025416666666650853,0.42224305555555613,-0.06887500000000024,-0.10851388888888873,0.22041666666666673,0.2813541666666661,0.5641180555555562,0.020000000000000018,0.5425277777777774,,-1.9106250000000005,0.03977083333333405,0.4349166666666659,0.04031249999999975,-0.14732638888888872,-0.2035347222222219,0.37215972222222266,0.7419097222222231,0.32425000000000076,-0.31284722222222205,0.13770138888888894,0.062180555555556793,0.6662708333333335,0.3052916666666665,-0.11434722222222209,0.5348611111111107,0.16260416666666608,0.6128680555555563,-0.1355555555555553,0.2069722222222219,,-1.669791666666667,0.0518541666666669,0.6582499999999992,-0.40010416666666676,-0.05107638888888862,0.11021527777777784,0.8492430555555561,1.275659722222223,0.5375833333333339,0.03298611111111042,0.17895138888888962,-0.065319444444443,0.5566875000000007,0.25445833333333306,-0.1501805555555554,-0.11013888888888863,0.34302083333333266,0.7091180555555562,0.016111111111110965,0.7169722222222218,,-0.9756250000000003,0.10727083333333261,0.5449166666666659,-0.1705208333333331,-0.016493055555555358,0.4172986111111108,1.0579930555555566,1.4977430555555558,0.0859166666666676,-0.017847222222222126,0.16186805555555614,-0.004486111111109044,0.0437708333333342,-0.7663750000000004,-0.0610138888888887,0.2365277777777782,0.3384374999999995,0.3703680555555562,0.17944444444444438,0.7036388888888886,,0.0,0.0,0.0,0.0,0.0,0.0,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0
11F101688,1.7320508075688772,1.0000000000000002,2.685,0.009604166666667278,0.12262499999999837,0.483104166666666,-0.016562500000000775,-0.1480902777777789,0.16656944444444413,0.27618055555555554,-0.021840277777777403,0.2225000000000001,0.1579513888888899,0.10180555555555494,-0.010569444444443545,0.2607152777777787,0.08079166666666653,-0.08809722222222256,0.036444444444444724,0.2490138888888893,-0.3104166666666663,0.38797222222222266,0.18745138888888901,,0.11140972222222285,0.13068055555555405,0.30768749999999895,0.0424652777777769,-0.2179513888888902,0.20018055555555506,0.20368055555555534,0.15163194444444508,0.004166666666666726,0.0005902777777787213,0.10069444444444464,0.05581944444444531,0.35752083333333395,0.19440277777777792,-4.166666666671759e-05,0.08088888888888916,0.18429166666666733,-0.6770833333333329,0.859638888888889,0.15786805555555553,,-0.039840277777777246,0.08484722222222037,0.6914374999999993,-0.07211805555555613,-0.060868055555556744,0.20268055555555545,0.5145138888888888,-0.17795138888888853,0.2775,0.24517361111111255,0.14402777777777706,-0.05834722222222174,0.33627083333333435,0.016902777777777416,-0.21587500000000048,0.03922222222222249,0.45345833333333374,-0.3204166666666664,0.20130555555555615,0.1591180555555559,,-0.04275694444444378,0.15234722222222072,0.4501874999999999,-0.020034722222223095,-0.1654513888888897,0.09684722222222186,0.11034722222222237,-0.039201388888888765,0.38583333333333353,0.22809027777777846,0.06069444444444313,-0.02918055555555421,0.08835416666666784,0.031069444444444223,-0.0483750000000005,-0.010777777777777478,0.10929166666666686,0.06625000000000043,0.10297222222222298,0.2453680555555556,,0.0,0.0,0.0,0.0,0.0,0.0,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0
124537,0.0,8.0,0.21,-0.4976156310400686,1.01613649230179,0.08477317707587397,-0.7502973996913588,-0.25463926693094624,-0.06383575949701616,0.22354316328218243,-0.6775277726513214,0.08563038354166669,0.5715357702083329,0.8671153183716965,0.20341441577152647,0.22629368329923244,-0.23505558289855055,0.7953246192838876,-0.09529479202046023,-0.3460839417361108,0.30496809842284744,-0.29638372486786035,-0.006466557016197701,,-0.5449054696376815,1.0314267200724634,-0.09017476224637659,-0.6445409682098777,-0.1409753326811594,-0.05610350210144902,0.21547565673913036,-0.25294777985507266,0.26187836826388894,0.5828946438194439,1.0123598003623189,-0.22488115289855007,-0.12864532384058003,0.151509001884058,0.40206486101449307,-0.052948771304347865,-0.2590916014583331,0.0795313786231883,0.1290525038405795,0.3449576385507247,,-0.3071856450000005,1.2211386816666665,-0.10945902166666654,-0.6465612941358032,-0.2939825616666666,0.10911336166666685,0.14619946833333328,-0.7869851400000001,0.034588789097222246,0.642651631319444,0.8661177750000002,0.5007401333333336,0.39613094499999973,-0.40506239666666644,0.6488179400000001,-0.2174920299999997,-0.09600261395833276,0.8209910583333334,-0.5186439816666669,-0.3682684933333333,,-0.669383807971015,0.7517855917391306,0.5277893427536233,-0.9597899367283954,-0.34382403434782605,-0.28065341376811637,0.3260366050724639,-1.0556749231884057,-0.03957600673611112,0.48906103548611063,0.6940189920289856,0.36057823710144987,0.4484157778260867,-0.4949249081159417,1.443044344347826,0.0005266686956522549,-0.6831576097916665,-0.04373538971014472,-0.5401948911594203,0.005986731884058116,,0.0,0.0,0.0,0.0,0.0,0.0,0.9611111111111111,0.9555555555555555,0.9578947368421052,0.9526315789473685,0.9944444444444444,0.9777777777777779,0.9555555555555555,0.9777777777777779,0.9666666666666666,0.9611111111111111,0.9526315789473685,0.9944444444444444,0.9944444444444444,0.9777777777777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8833333333333333,0.8666666666666667,0.8857142857142858,0.8714285714285713,0.9833333333333334,0.9333333333333332,0.8666666666666667,0.9333333333333332,0.9,0.8833333333333333,0.8714285714285713,0.9833333333333334,0.9833333333333334,0.9333333333333332,0.0
211994,-6.928203230275507,-4.0000000000000036,0.72,-0.9511544898124468,0.25305946901108217,-0.17070994575447493,-0.5116591157021616,1.0770243142369993,0.11366393138107533,-0.4297061921653874,0.16245850866155168,-0.4330959363194448,-0.4670702068749997,0.15839970098039224,-0.7729444158994021,0.35384380378516617,-0.06643964310315449,0.4366363840920715,-0.13591139072463743,0.19693704694444383,0.6666964061466326,0.43911228994032403,-1.3156724832736575,,-0.8080768380434781,-0.20497378804347877,-0.6094435526811589,-0.2103200596836432,1.498846315942029,-0.0552815919565209,0.04033429195652275,0.09422977217391315,-0.19195906548611127,-0.4939111415972219,0.45789174166666663,-0.04750516775362253,0.3945004379710144,0.41779411550724593,0.35508674086956543,-0.09201576536231881,0.11032763027777721,0.376072316014493,0.5188115086956521,-0.9551416020289859,,-1.085988708333334,0.7379401083333329,-1.0512172149999992,-0.3454664157021621,1.000513883333334,0.32155517833333463,-0.5324691449999998,-0.043909413333332946,-0.9330959196527783,-0.5504497624305555,-0.07640062499999993,-1.2166782249999986,0.5260086299999999,-0.18701168666666668,0.5107685966666669,0.05477679333333363,0.6155976136111102,0.9571593283333334,0.44095676666666667,-1.3383543933333335,,-0.9610466097101448,0.2208426102898544,1.412379105652175,-0.9791908717206793,0.6626504292753623,0.0669290630434796,-0.8704392297101448,0.4919744988405794,-0.1742328238194449,-0.356849716597222,0.08076964333333354,-1.1109909427536215,0.09845805130434773,-0.5028337011594204,0.44553730086956433,-0.41741196202898506,-0.13511410305555596,0.6668898076811596,0.3412598553623193,-1.7210912486956524,,0.0,0.0,0.0,0.0,0.0,0.0,0.9611111111111111,0.9555555555555555,0.9578947368421052,0.9526315789473685,0.9944444444444444,0.9777777777777779,0.9555555555555555,0.9777777777777779,0.9666666666666666,0.9611111111111111,0.9526315789473685,0.9944444444444444,0.9944444444444444,0.9777777777777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8833333333333333,0.8666666666666667,0.8857142857142858,0.8714285714285713,0.9833333333333334,0.9333333333333332,0.8666666666666667,0.9333333333333332,0.9,0.8833333333333333,0.8714285714285713,0.9833333333333334,0.9833333333333334,0.9333333333333332,0.0
