MiniDOT Logger Concatenated Data File
Sensor:             7450-926951
Concatenation Date: 2018Jul11 18:52:16 UTC

DO concentration compensated for salinity: 0.5 (ppt)
Saturation computed at elevation: 103.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,    Coordinated Universal Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1530811260,           2018-07-05 17:21:00,           2018-07-05 17:21:00,      3.460000,     22.949000,          8.550349,                   101.134881,      1.039000
                1530811860,           2018-07-05 17:31:00,           2018-07-05 17:31:00,      3.470000,     23.275000,          8.537445,                   101.607632,      1.040000
                1530812460,           2018-07-05 17:41:00,           2018-07-05 17:41:00,      3.470000,     23.635000,          8.486654,                   101.690631,      1.041000
                1530813060,           2018-07-05 17:51:00,           2018-07-05 17:51:00,      3.480000,     23.468000,          8.484631,                   101.347419,      1.040000
                1530813660,           2018-07-05 18:01:00,           2018-07-05 18:01:00,      3.480000,     23.643000,          8.468707,                   101.490837,      1.040000
                1530814260,           2018-07-05 18:11:00,           2018-07-05 18:11:00,      3.490000,     23.560000,          8.472681,                   101.380126,      1.041000
                1530814860,           2018-07-05 18:21:00,           2018-07-05 18:21:00,      3.490000,     23.702000,          8.426838,                   101.101040,      1.039000
                1530815460,           2018-07-05 18:31:00,           2018-07-05 18:31:00,      3.490000,     23.375000,          8.479629,                   101.110244,      1.039000
                1530816060,           2018-07-05 18:41:00,           2018-07-05 18:41:00,      3.500000,     27.751000,          7.828187,                   101.121765,      1.043000
                1530816660,           2018-07-05 18:51:00,           2018-07-05 18:51:00,      3.500000,     30.386000,          7.498475,                   101.425925,      1.043000
                1530817260,           2018-07-05 19:01:00,           2018-07-05 19:01:00,      3.500000,     28.596000,          7.790417,                   102.147058,      1.042000
                1530817860,           2018-07-05 19:11:00,           2018-07-05 19:11:00,      3.510000,     27.003000,          7.999594,                   101.965876,      1.040000
                1530818460,           2018-07-05 19:21:00,           2018-07-05 19:21:00,      3.510000,     28.340000,          6.923785,                    90.375830,      1.021000
                1530819060,           2018-07-05 19:31:00,           2018-07-05 19:31:00,      3.510000,     22.890000,          6.111373,                    72.205332,      1.021000
                1530819660,           2018-07-05 19:41:00,           2018-07-05 19:41:00,      3.510000,     22.639000,          6.318741,                    74.299504,      1.024000
                1530820260,           2018-07-05 19:51:00,           2018-07-05 19:51:00,      3.510000,     22.556000,          6.375566,                    74.849026,      1.024000
                1530820860,           2018-07-05 20:01:00,           2018-07-05 20:01:00,      3.520000,     22.539000,          6.374567,                    74.812999,      1.025000
                1530821460,           2018-07-05 20:11:00,           2018-07-05 20:11:00,      3.520000,     22.556000,          6.442373,                    75.633337,      1.025000
                1530822060,           2018-07-05 20:21:00,           2018-07-05 20:21:00,      3.520000,     22.573000,          6.529124,                    76.676683,      1.025000
                1530822660,           2018-07-05 20:31:00,           2018-07-05 20:31:00,      3.520000,     22.548000,          6.558037,                    76.979474,      1.025000
                1530823260,           2018-07-05 20:41:00,           2018-07-05 20:41:00,      3.520000,     22.522000,          6.510172,                    76.379679,      1.024000
                1530823860,           2018-07-05 20:51:00,           2018-07-05 20:51:00,      3.520000,     22.447000,          6.515147,                    76.328535,      1.025000
                1530824460,           2018-07-05 21:01:00,           2018-07-05 21:01:00,      3.520000,     22.506000,          6.675691,                    78.297666,      1.025000
                1530825060,           2018-07-05 21:11:00,           2018-07-05 21:11:00,      3.520000,     22.506000,          6.486239,                    76.075626,      1.024000
                1530825660,           2018-07-05 21:21:00,           2018-07-05 21:21:00,      3.520000,     22.531000,          6.265880,                    73.526195,      1.024000
                1530826260,           2018-07-05 21:31:00,           2018-07-05 21:31:00,      3.520000,     22.581000,          6.651771,                    78.128950,      1.025000
                1530826860,           2018-07-05 21:41:00,           2018-07-05 21:41:00,      3.520000,     22.548000,          6.511173,                    76.429370,      1.025000
                1530827460,           2018-07-05 21:51:00,           2018-07-05 21:51:00,      3.520000,     22.539000,          6.742503,                    79.131159,      1.024000
                1530828060,           2018-07-05 22:01:00,           2018-07-05 22:01:00,      3.520000,     22.556000,          6.568010,                    77.108310,      1.025000
                1530828660,           2018-07-05 22:11:00,           2018-07-05 22:11:00,      3.520000,     22.447000,          6.334670,                    74.214139,      1.024000
                1530829260,           2018-07-05 22:21:00,           2018-07-05 22:21:00,      3.520000,     22.489000,          6.359603,                    74.566109,      1.025000
                1530829860,           2018-07-05 22:31:00,           2018-07-05 22:31:00,      3.520000,     22.514000,          6.936937,                    81.374195,      1.025000
                1530830460,           2018-07-05 22:41:00,           2018-07-05 22:41:00,      3.520000,     22.556000,          7.000758,                    82.188772,      1.025000
                1530831060,           2018-07-05 22:51:00,           2018-07-05 22:51:00,      3.530000,     22.539000,          6.464307,                    75.866209,      1.025000
                1530831660,           2018-07-05 23:01:00,           2018-07-05 23:01:00,      3.530000,     22.589000,          7.122412,                    83.669676,      1.024000
                1530832260,           2018-07-05 23:11:00,           2018-07-05 23:11:00,      3.530000,     22.648000,          7.653885,                    90.014360,      1.024000
                1530832860,           2018-07-05 23:21:00,           2018-07-05 23:21:00,      3.530000,     22.598000,          7.345767,                    86.308345,      1.025000
                1530833460,           2018-07-05 23:31:00,           2018-07-05 23:31:00,      3.530000,     22.581000,          6.906036,                    81.115441,      1.025000
                1530834060,           2018-07-05 23:41:00,           2018-07-05 23:41:00,      3.530000,     22.598000,          6.977831,                    81.985313,      1.024000
                1530834660,           2018-07-05 23:51:00,           2018-07-05 23:51:00,      3.530000,     22.539000,          6.982808,                    81.951420,      1.025000
                1530835260,           2018-07-06 00:01:00,           2018-07-06 00:01:00,      3.530000,     22.514000,          6.750476,                    79.186905,      1.024000
                1530835860,           2018-07-06 00:11:00,           2018-07-06 00:11:00,      3.530000,     22.556000,          6.920989,                    81.252282,      1.025000
