Sensor,x_pos,y_pos,mab,Day C10_PDT dev.,Day C16_PDT dev.,Day C19_PDT dev.,Day C1_PDT dev.,Day C20_PDT dev.,Day C2_PDT dev.,Day P11_PDT dev.,Day P12_PDT dev.,Day P13_PDT dev.,Day P14_PDT dev.,Day P15_PDT dev.,Day P17_PDT dev.,Day P18_PDT dev.,Day P3_PDT dev.,Day P4_PDT dev.,Day P5_PDT dev.,Day P6_PDT dev.,Day P7_PDT dev.,Day P8_PDT dev.,Day P9_PDT dev.,Day nan dev.,Day C10_PDT dev. hour 1,Day C16_PDT dev. hour 1,Day C19_PDT dev. hour 1,Day C1_PDT dev. hour 1,Day C20_PDT dev. hour 1,Day C2_PDT dev. hour 1,Day P11_PDT dev. hour 1,Day P12_PDT dev. hour 1,Day P13_PDT dev. hour 1,Day P14_PDT dev. hour 1,Day P15_PDT dev. hour 1,Day P17_PDT dev. hour 1,Day P18_PDT dev. hour 1,Day P3_PDT dev. hour 1,Day P4_PDT dev. hour 1,Day P5_PDT dev. hour 1,Day P6_PDT dev. hour 1,Day P7_PDT dev. hour 1,Day P8_PDT dev. hour 1,Day P9_PDT dev. hour 1,Day nan dev. hour 1,Day C10_PDT dev. hour 2,Day C16_PDT dev. hour 2,Day C19_PDT dev. hour 2,Day C1_PDT dev. hour 2,Day C20_PDT dev. hour 2,Day C2_PDT dev. hour 2,Day P11_PDT dev. hour 2,Day P12_PDT dev. hour 2,Day P13_PDT dev. hour 2,Day P14_PDT dev. hour 2,Day P15_PDT dev. hour 2,Day P17_PDT dev. hour 2,Day P18_PDT dev. hour 2,Day P3_PDT dev. hour 2,Day P4_PDT dev. hour 2,Day P5_PDT dev. hour 2,Day P6_PDT dev. hour 2,Day P7_PDT dev. hour 2,Day P8_PDT dev. hour 2,Day P9_PDT dev. hour 2,Day nan dev. hour 2,Day C10_PDT dev. hour 3,Day C16_PDT dev. hour 3,Day C19_PDT dev. hour 3,Day C1_PDT dev. hour 3,Day C20_PDT dev. hour 3,Day C2_PDT dev. hour 3,Day P11_PDT dev. hour 3,Day P12_PDT dev. hour 3,Day P13_PDT dev. hour 3,Day P14_PDT dev. hour 3,Day P15_PDT dev. hour 3,Day P17_PDT dev. hour 3,Day P18_PDT dev. hour 3,Day P3_PDT dev. hour 3,Day P4_PDT dev. hour 3,Day P5_PDT dev. hour 3,Day P6_PDT dev. hour 3,Day P7_PDT dev. hour 3,Day P8_PDT dev. hour 3,Day P9_PDT dev. hour 3,Day nan dev. hour 3,Day C10_PDT pumping,Day C16_PDT pumping,Day C19_PDT pumping,Day C1_PDT pumping,Day C20_PDT pumping,Day C2_PDT pumping,Day P11_PDT pumping,Day P12_PDT pumping,Day P13_PDT pumping,Day P14_PDT pumping,Day P15_PDT pumping,Day P17_PDT pumping,Day P18_PDT pumping,Day P3_PDT pumping,Day P4_PDT pumping,Day P5_PDT pumping,Day P6_PDT pumping,Day P7_PDT pumping,Day P8_PDT pumping,Day P9_PDT pumping,Day nan pumping,Day C10_PDT pumping hour 1,Day C16_PDT pumping hour 1,Day C19_PDT pumping hour 1,Day C1_PDT pumping hour 1,Day C20_PDT pumping hour 1,Day C2_PDT pumping hour 1,Day P11_PDT pumping hour 1,Day P12_PDT pumping hour 1,Day P13_PDT pumping hour 1,Day P14_PDT pumping hour 1,Day P15_PDT pumping hour 1,Day P17_PDT pumping hour 1,Day P18_PDT pumping hour 1,Day P3_PDT pumping hour 1,Day P4_PDT pumping hour 1,Day P5_PDT pumping hour 1,Day P6_PDT pumping hour 1,Day P7_PDT pumping hour 1,Day P8_PDT pumping hour 1,Day P9_PDT pumping hour 1,Day nan pumping hour 1,Day C10_PDT pumping hour 2,Day C16_PDT pumping hour 2,Day C19_PDT pumping hour 2,Day C1_PDT pumping hour 2,Day C20_PDT pumping hour 2,Day C2_PDT pumping hour 2,Day P11_PDT pumping hour 2,Day P12_PDT pumping hour 2,Day P13_PDT pumping hour 2,Day P14_PDT pumping hour 2,Day P15_PDT pumping hour 2,Day P17_PDT pumping hour 2,Day P18_PDT pumping hour 2,Day P3_PDT pumping hour 2,Day P4_PDT pumping hour 2,Day P5_PDT pumping hour 2,Day P6_PDT pumping hour 2,Day P7_PDT pumping hour 2,Day P8_PDT pumping hour 2,Day P9_PDT pumping hour 2,Day nan pumping hour 2,Day C10_PDT pumping hour 3,Day C16_PDT pumping hour 3,Day C19_PDT pumping hour 3,Day C1_PDT pumping hour 3,Day C20_PDT pumping hour 3,Day C2_PDT pumping hour 3,Day P11_PDT pumping hour 3,Day P12_PDT pumping hour 3,Day P13_PDT pumping hour 3,Day P14_PDT pumping hour 3,Day P15_PDT pumping hour 3,Day P17_PDT pumping hour 3,Day P18_PDT pumping hour 3,Day P3_PDT pumping hour 3,Day P4_PDT pumping hour 3,Day P5_PDT pumping hour 3,Day P6_PDT pumping hour 3,Day P7_PDT pumping hour 3,Day P8_PDT pumping hour 3,Day P9_PDT pumping hour 3,Day nan pumping hour 3
005930,-4.330127018922193,2.5000000000000004,0.21,-0.25225271718605907,-0.7534840567213719,0.2517184668848731,-0.02821635398148133,0.11644888226381454,0.03635298663408893,2.529148979030672,0.5641685689409298,1.214364465871212,-0.07247163161616174,-0.12478671276046487,-0.255595657978364,1.8953035464042036,1.872385100626959,0.6849122370305492,1.1567834401469048,1.7875203827272723,2.048680651315384,2.248854489323253,3.90712422728502,,-0.20940076162486929,-1.3730954463427378,0.13718289894200628,0.17500128157407424,0.0982434928030302,0.3208448775992681,3.3135452015543367,0.4690892037617546,1.1593374275378785,-0.12037618272727298,0.11903710177638427,-0.3360330352011496,2.138845336507314,1.237536124190177,-0.1519516048981194,0.8962576648510973,1.2577677471717168,1.79900523710815,1.9894855875653084,4.193805714184953,,-0.47577743863636335,-0.5338122181818181,0.2632853753787878,-0.15081815398148138,0.1789913761363636,-0.3037393511363642,2.9309944314393945,0.6719042393939384,1.756063449204545,-0.5555196760606061,-0.1805721045454546,-0.3024376375000002,1.7074600571969691,2.247956862121212,0.8262392094696973,1.5191793746212119,2.4169557605050502,2.7498166715909087,2.4052313318181815,4.536486799242424,,-0.03544539811912193,-0.27355659542319744,0.37528085822361545,-0.10883218953703684,0.06324435696969691,0.10307352280041764,1.1056589691118075,0.5489810026123297,0.7276925208712118,0.45848096393939386,-0.35043282006269616,-0.10286042988505768,1.8284655853291525,2.1835177585579935,1.5195564804179733,1.0345392491327061,1.6878376405050506,1.5069279240334366,2.372444960438872,2.8078713566562175,,0.0,0.0,0.0,0.0,0.0,0.0,0.9611111111111111,0.9555555555555555,0.9578947368421052,0.9526315789473685,0.9944444444444444,0.9777777777777779,0.9555555555555555,0.9777777777777779,0.9666666666666666,0.9611111111111111,0.9526315789473685,0.9944444444444444,0.9944444444444444,0.9777777777777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8833333333333333,0.8666666666666667,0.8857142857142858,0.8714285714285713,0.9833333333333334,0.9333333333333332,0.8666666666666667,0.9333333333333332,0.9,0.8833333333333333,0.8714285714285713,0.9833333333333334,0.9833333333333334,0.9333333333333332,0.0
0900,-4.330127018922192,-2.500000000000002,0.21,,-0.14651785362345593,0.09094888249431436,,0.1597381279857398,,,-0.8118118198598561,-0.23772280227272713,-0.43471137306818175,-0.16855837605261534,-0.2760571857090176,0.17973684491671263,,,,,,,,,,-0.3805516111285269,0.180919795323929,,0.0819242098484849,,,-0.793162144200627,-0.29638751893939386,-0.4152475180681818,-0.32230685331765935,-0.3005282270376181,0.1274243534613373,,,,,,,,,,-0.14095898181818214,-0.024299609848484838,,0.24570602651515153,,,-1.098086471212121,-0.28911968560606044,-0.5689492564015152,0.07495227196969705,-0.33498746439393995,0.2595071988636363,,,,,,,,,,0.12765200921630077,0.12128197791013584,,0.14995335151515152,,,-0.49066184902821297,-0.12766120227272712,-0.3199373447348484,-0.27627298096133746,-0.1759756016927904,0.1467874099268546,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9555555555555555,0.9578947368421052,0.9526315789473685,0.9944444444444444,0.9777777777777779,0.9555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.8857142857142858,0.8714285714285713,0.9833333333333334,0.9333333333333332,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0902,4.330127018922194,-2.499999999999999,0.21,,0.49344553417849907,0.517294677998033,,0.06860308296146053,,,1.1458263501260069,1.3519653804924243,0.22810474069444442,-0.1720206582426698,-0.032815580512017044,0.047084037236461915,,,,,,,,,,0.5012242397988504,-0.2702535907392895,,0.2475240646551726,,,0.9697528387669802,0.5998657554924242,0.1439969290277777,0.3007984336859983,0.24930412135579919,0.07627438213166142,,,,,,,,,,0.6996588208333335,0.6402305609848483,,0.1863961249999999,,,1.1920774772727276,1.8753166304924243,0.3982558406944447,-0.5936417473484846,0.08719419204545416,0.09005642121212114,,,,,,,,,,0.23665514344827637,1.3148295408986415,,-0.2874537455172413,,,1.3016132111807734,1.5807137554924242,0.1420614523611109,-0.23345826163009384,-0.5153709498223619,-0.039511237408568524,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9555555555555555,0.9578947368421052,0.9526315789473685,0.9944444444444444,0.9777777777777779,0.9555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.8857142857142858,0.8714285714285713,0.9833333333333334,0.9333333333333332,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1035,2.4492935982947064e-16,-2.0,2.665,,0.5242192900700722,0.352006205157047,,-0.3357745714303263,,,-0.01316543826602687,-0.09415650280303028,0.22892668320707177,-0.0941229126528981,-0.015447475570102162,-0.038026044231360176,,,,,,,,,,0.5895292403996862,-0.35392044448798327,,-0.15367824932079266,,,0.07034612438610328,-0.30380481724747493,0.5278884276515161,-0.1636634564916406,0.3248281267372002,0.3265974231452456,,,,,,,,,,0.42826285189394,-0.15735951287878805,,-0.3543410090909078,,,-0.08199482159090869,-0.1271512305808081,0.03360776098484952,0.1182039981060606,-0.1402583928030298,0.0734046863636364,,,,,,,,,,0.5609950754858939,1.8103570463740852,,-0.5320104327690688,,,-0.03078405345872488,0.14848653941919218,0.1252838609848496,-0.26546655295715754,-0.2740050976593518,-0.609291081797283,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9555555555555555,0.9578947368421052,0.9526315789473685,0.9944444444444444,0.9777777777777779,0.9555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.8857142857142858,0.8714285714285713,0.9833333333333334,0.9333333333333332,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1039,1.7320508075688772,1.0000000000000002,2.685,,-0.34858555669985825,0.608110919856783,,0.3210210813633287,,,-0.6424737626528975,-0.43859780569444395,-0.03545220987373697,0.4275885965332846,-0.3187948835054404,0.6768540375038417,,,,,,,,,,-0.8591114379963427,0.7293829287225707,,0.9556330243991636,,,0.028817939341693116,-0.2953087573611109,-0.2665324354292922,0.7897883740856849,0.023502454062172884,0.7513032537225705,,,,,,,,,,0.21897425568181852,-0.1260091988636363,,0.12479546060606035,,,-1.2030653393939386,-0.7175015556944436,-0.5329554987626257,0.04660145454545531,-0.33462407007575795,0.7407628094696973,,,,,,,,,,-0.4170262740020892,1.3435286516823408,,-0.2050425053709512,,,-0.7753139129571569,-0.30298310402777723,0.693131304570707,0.4501334338557994,-0.7105566647021949,0.5108244516823405,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9555555555555555,0.9578947368421052,0.9526315789473685,0.9944444444444444,0.9777777777777779,0.9555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.8857142857142858,0.8714285714285713,0.9833333333333334,0.9333333333333332,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1041,0.0,8.0,0.21,,0.19610534572807067,0.7121462439609085,,0.5082859972001972,,,0.035959214521483214,-0.595352986351011,-0.13893787623737383,-1.0623467251767162,-0.19571162011801688,0.40242059776261624,,,,,,,,,,0.2765681480015667,0.42187788145245647,,0.728167524490596,,,-0.09670820785005156,-0.558308295795455,0.4282838937626258,-0.11454187957157735,-0.09995259435736781,0.37024439030825507,,,,,,,,,,0.5297648071969682,-0.4014726863636353,,0.6116951026515155,,,0.24276219962121282,-0.6551131807954552,-0.029934742904040263,-1.3736401606060606,-0.3751634409090918,0.3786381265151517,,,,,,,,,,-0.3008413707628016,2.3968109953605037,,0.12033723791013635,,,-0.05300346075235059,-0.5726374824621225,-0.815162779570707,-1.8261604173876695,-0.09528026608150579,0.4695710122048071,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9555555555555555,0.9578947368421052,0.9526315789473685,0.9944444444444444,0.9777777777777779,0.9555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.8857142857142858,0.8714285714285713,0.9833333333333334,0.9333333333333332,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11F101687,-6.928203230275507,-4.0000000000000036,0.72,-1.511621212121212,0.11211237373737301,0.4470416666666676,-0.08591666666666686,0.11220833333333353,-0.008184343434342564,0.6327638888888887,1.1015164141414138,0.5314583333333327,0.2555606060606055,0.21200757575757567,0.01738510101010022,0.3281527777777804,-0.4462916666666664,-0.009821969696968925,0.23392297979797996,0.08565404040404007,0.011683080808081621,0.12245328282828322,0.5486464646464646,,-1.91339898989899,0.08816792929292887,0.37709722222222314,0.1414166666666663,0.09759722222222293,-0.3712954545454538,0.2437083333333332,0.567238636363636,0.837291666666666,0.1867828282828281,0.2431186868686869,0.0727739898989898,0.5220972222222245,0.03987500000000025,-0.03798863636363562,0.6345340909090912,0.00032070707070704546,0.23384974747474851,0.024064393939394375,0.20942424242424273,,-1.662732323232323,0.09766792929292878,0.5592638888888901,-0.3092500000000002,0.13276388888888904,-0.0059621212121204374,0.7222083333333328,1.2054053030303027,0.7531249999999993,0.38778282828282745,0.2314520202020202,-0.04539267676767741,0.46259722222222494,-0.12295833333333299,-0.05148863636363554,-0.09663257575757545,0.14732070707070669,0.15668308080808155,0.11856439393939411,0.7230909090909091,,-0.9587323232323234,0.1505012626262614,0.4047638888888896,-0.08991666666666671,0.10626388888888864,0.35270454545454655,0.9323749999999998,1.5319053030303025,0.003958333333332842,0.192116161616161,0.1614520202020199,0.02477398989898827,-0.00023611111110829105,-1.2557916666666669,0.06001136363636439,0.1638674242424242,0.10932070707070644,-0.3554835858585852,0.22473106060606116,0.7134242424242424,,0.0,0.0,0.0,0.0,0.0,0.0,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0
11F101688,-1.7320508075688772,1.0000000000000002,0.21,0.15681313131313207,0.13102020202020193,0.36634469696969735,0.032958333333332805,0.013914141414142477,0.19372095959596022,0.3023005050505042,0.2022348484848479,0.043844696969697804,0.416359848484849,0.15900505050504965,-0.05475252525252437,0.023760101010099968,0.04581944444444394,0.048299242424241856,0.1257702020202018,0.11366919191919224,-0.33180176767676844,0.12314267676767582,0.056003787878788555,,0.2900353535353539,0.15290909090909066,0.1771780303030305,0.09123611111111041,-0.005530303030301849,0.2143320707070715,0.18596717171717106,0.4627904040404034,-0.2169886363636356,0.35308207070707126,0.1915606060606049,-0.018196969696968306,0.09564898989898918,0.15676388888888834,0.1810214646464646,0.1852146464646459,-0.037553030303030255,-0.7446351010101017,0.4713093434343428,-0.016496212121211773,,0.10736868686868768,0.09324242424242406,0.5746780303030308,-0.02259722222222275,0.10113636363636462,0.22983207070707135,0.5406338383838376,0.04612373737373673,0.09884469696969782,0.5035820707070714,0.20122727272727184,-0.10253030303030257,0.0993156565656556,-0.018069444444445065,-0.07947853535353595,0.12854797979797952,0.31811363636363676,-0.3418017676767686,-0.06352398989899062,0.027670454545455286,,0.07303535353535458,0.14690909090909102,0.34717803030303074,0.03023611111111076,-0.05386363636363534,0.1369987373737378,0.180300505050504,0.09779040404040362,0.24967803030303118,0.3924154040404044,0.08422727272727215,-0.04353030303030225,-0.12368434343434487,-0.0012361111111114376,0.043354797979796945,0.06354797979798003,0.0604469696969702,0.09103156565656494,-0.038357323232324735,0.15683712121212215,,0.0,0.0,0.0,0.0,0.0,0.0,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0
124537,2.4492935982947064e-16,-2.0,0.21,-0.4742466039277153,0.3027971466500708,0.2768120248079171,-0.6949649594290132,0.039711447553629445,-0.14304205561804698,0.34051637124592776,-0.8240834097854819,0.04192966982323235,0.38593285994949456,0.7817423173335786,0.1951344626867043,0.23931089967422695,-0.4407476321316612,0.9028778786864581,-0.18372186269285193,-0.3755322276262634,-0.04658662825926552,-0.17828942719896815,-0.025244601536664604,,-0.46912055595611263,0.174095883085162,0.021757955538140306,-0.5363972947993839,0.3559193419670846,-0.1419874230538145,0.26825878730407515,-0.3588684737983285,0.20073167537878792,0.37909031772727214,1.017558471238244,-0.2188496107497393,-0.007944549007314597,-0.1058330397466037,0.44729459301201596,-0.07868079520637468,-0.31286487984848543,-0.2480060957288397,0.2277503525339594,0.24515295263845374,,-0.28858169848484844,0.5208894715909093,0.08986220151515172,-0.5912288538734575,-0.018044934469697165,0.03051412234848468,0.2690081378787877,-0.9372348628787882,-0.009111924621212075,0.4570487210606058,0.77251098560606,0.4911591352272721,0.39935874696969687,-0.6060589920454542,0.7620369746212113,-0.31161865037878816,-0.12545089984848543,0.4672529450757581,-0.3987863704545462,-0.3796804795454543,,-0.7031957480250786,0.1955278729989553,0.8072166958829678,-0.9572687296141981,-0.27043036731452474,-0.3525750282549639,0.5130353520167189,-1.2465595892580983,-0.06583074128787875,0.3216595410606058,0.5098405307210025,0.33668574376175525,0.3439600213375128,-0.6442715110971784,1.618586906374085,-0.15629499845350114,-0.6882809031818194,-0.42149075529780483,-0.40094083097178757,0.075601387063741,,0.0,0.0,0.0,0.0,0.0,0.0,0.9611111111111111,0.9555555555555555,0.9578947368421052,0.9526315789473685,0.9944444444444444,0.9777777777777779,0.9555555555555555,0.9777777777777779,0.9666666666666666,0.9611111111111111,0.9526315789473685,0.9944444444444444,0.9944444444444444,0.9777777777777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8833333333333333,0.8666666666666667,0.8857142857142858,0.8714285714285713,0.9833333333333334,0.9333333333333332,0.8666666666666667,0.9333333333333332,0.9,0.8833333333333333,0.8714285714285713,0.9833333333333334,0.9833333333333334,0.9333333333333332,0.0
211994,1.7320508075688772,1.0000000000000002,0.21,-0.7198381696293559,0.14465569530702538,1.0247936308408625,-0.5300695953858026,0.8932838580060226,0.09510588106214289,-0.24534034163746993,0.33759553551539656,-0.385737902803031,-0.5013246625378786,0.22593699026983913,-0.7278713574558974,0.2363361624408388,-0.2769056685690582,0.4758002742024711,-0.18342527638453568,0.049471975808080555,0.3531359396766869,0.32964330133689845,-1.390566399456021,,-0.45877701251306097,-0.2821026516588299,0.46667401396290403,-0.16804994557098837,1.6656881495036562,-0.07801550078369912,0.22442358662486908,0.41284953108672884,0.050154693863635615,-0.4629529897601003,0.5642993548066887,0.09147369606844347,0.3541994260057475,0.2523518940830711,0.41807042719435755,-0.02985034994775404,0.09393074914141408,0.3175035883751319,0.5301597746212128,-0.8932186687173463,,-0.8653981613636362,0.6266931609848482,0.15513963522727203,-0.36387689538580287,0.7849023098484839,0.3033767515151518,-0.34807815303030293,0.1181837287878782,-0.8857378861363645,-0.5847042180934342,-0.01239700151515081,-1.1801420579545452,0.40148220416666697,-0.40157078522727296,0.5477670507575763,-0.0027079378787885724,0.4681325424747471,0.6204177946969708,0.32050439128787866,-1.4256862049242425,,-0.8584395680877733,0.07832075285266438,2.7381219658307208,-1.0582819452006165,0.0964565659979085,0.052926494733542565,-0.6857716818808772,0.5105849089028199,-0.3216305161363642,-0.45631677976010127,0.1059029429676075,-1.1683605810867292,-0.10327500390804553,-0.7624166037617556,0.45871595874608123,-0.5845759943155702,-0.41364736419191955,0.0751565352142121,0.09999022545454501,-1.9452399097805642,,0.0,0.0,0.0,0.0,0.0,0.0,0.9611111111111111,0.9555555555555555,0.9578947368421052,0.9526315789473685,0.9944444444444444,0.9777777777777779,0.9555555555555555,0.9777777777777779,0.9666666666666666,0.9611111111111111,0.9526315789473685,0.9944444444444444,0.9944444444444444,0.9777777777777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8833333333333333,0.8666666666666667,0.8857142857142858,0.8714285714285713,0.9833333333333334,0.9333333333333332,0.8666666666666667,0.9333333333333332,0.9,0.8833333333333333,0.8714285714285713,0.9833333333333334,0.9833333333333334,0.9333333333333332,0.0
