MiniDOT Logger Concatenated Data File
Sensor:             7450-982167
Concatenation Date: 2018Jul11 18:35:39 UTC

DO concentration compensated for salinity: 0.5 (ppt)
Saturation computed at elevation: 103.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,    Coordinated Universal Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1530812160,           2018-07-05 17:36:00,           2018-07-05 17:36:00,      3.490000,     22.347000,          8.438564,                    98.673354,      1.008000
                1530812760,           2018-07-05 17:46:00,           2018-07-05 17:46:00,      3.500000,     22.422000,          8.433591,                    98.756920,      1.008000
                1530813360,           2018-07-05 17:56:00,           2018-07-05 17:56:00,      3.500000,     22.405000,          8.451536,                    98.934863,      1.009000
                1530813960,           2018-07-05 18:06:00,           2018-07-05 18:06:00,      3.510000,     22.456000,          8.445563,                    98.961450,      1.009000
                1530814560,           2018-07-05 18:16:00,           2018-07-05 18:16:00,      3.510000,     22.464000,          8.436590,                    98.871438,      1.008000
                1530815160,           2018-07-05 18:26:00,           2018-07-05 18:26:00,      3.510000,     22.514000,          8.436599,                    98.966087,      1.009000
                1530815760,           2018-07-05 18:36:00,           2018-07-05 18:36:00,      3.510000,     23.091000,          8.338983,                    98.900788,      1.009000
                1530816360,           2018-07-05 18:46:00,           2018-07-05 18:46:00,      3.520000,     26.587000,          7.738263,                    97.899823,      1.011000
                1530816960,           2018-07-05 18:56:00,           2018-07-05 18:56:00,      3.520000,     28.618000,          7.548092,                    99.007969,      1.012000
                1530817560,           2018-07-05 19:06:00,           2018-07-05 19:06:00,      3.520000,     27.638000,          7.751384,                    99.928792,      1.012000
                1530818160,           2018-07-05 19:16:00,           2018-07-05 19:16:00,      3.530000,     27.316000,          7.856043,                   100.698554,      1.012000
                1530818760,           2018-07-05 19:26:00,           2018-07-05 19:26:00,      3.530000,     23.778000,          3.884867,                    46.675232,      1.008000
                1530819360,           2018-07-05 19:36:00,           2018-07-05 19:36:00,      3.530000,     22.514000,          3.792032,                    44.482689,      1.009000
                1530819960,           2018-07-05 19:46:00,           2018-07-05 19:46:00,      3.530000,     22.355000,          3.557698,                    41.607059,      1.009000
                1530820560,           2018-07-05 19:56:00,           2018-07-05 19:56:00,      3.530000,     22.272000,          3.757114,                    43.869374,      1.009000
                1530821160,           2018-07-05 20:06:00,           2018-07-05 20:06:00,      3.540000,     22.297000,          3.794009,                    44.321415,      1.009000
                1530821760,           2018-07-05 20:16:00,           2018-07-05 20:16:00,      3.540000,     22.280000,          3.908676,                    45.646061,      1.009000
                1530822360,           2018-07-05 20:26:00,           2018-07-05 20:26:00,      3.540000,     22.263000,          4.135018,                    48.273582,      1.009000
                1530822960,           2018-07-05 20:36:00,           2018-07-05 20:36:00,      3.540000,     22.280000,          4.093141,                    47.800276,      1.009000
                1530823560,           2018-07-05 20:46:00,           2018-07-05 20:46:00,      3.540000,     22.297000,          3.838879,                    44.845584,      1.009000
                1530824160,           2018-07-05 20:56:00,           2018-07-05 20:56:00,      3.540000,     22.280000,          3.835887,                    44.796020,      1.009000
                1530824760,           2018-07-05 21:06:00,           2018-07-05 21:06:00,      3.540000,     22.305000,          3.474934,                    40.600223,      1.009000
                1530825360,           2018-07-05 21:16:00,           2018-07-05 21:16:00,      3.540000,     22.272000,          3.517807,                    41.075146,      1.009000
                1530825960,           2018-07-05 21:26:00,           2018-07-05 21:26:00,      3.540000,     22.255000,          3.225653,                    37.651567,      1.009000
                1530826560,           2018-07-05 21:36:00,           2018-07-05 21:36:00,      3.540000,     22.255000,          3.136910,                    36.615713,      1.009000
                1530827160,           2018-07-05 21:46:00,           2018-07-05 21:46:00,      3.540000,     22.196000,          2.965403,                    34.574622,      1.009000
                1530827760,           2018-07-05 21:56:00,           2018-07-05 21:56:00,      3.540000,     22.230000,          2.889625,                    33.713093,      1.009000
                1530828360,           2018-07-05 22:06:00,           2018-07-05 22:06:00,      3.540000,     22.188000,          2.817831,                    32.848976,      1.009000
                1530828960,           2018-07-05 22:16:00,           2018-07-05 22:16:00,      3.540000,     22.222000,          2.452890,                    28.613342,      1.009000
                1530829560,           2018-07-05 22:26:00,           2018-07-05 22:26:00,      3.540000,     22.213000,          2.257456,                    26.329026,      1.010000
                1530830160,           2018-07-05 22:36:00,           2018-07-05 22:36:00,      3.540000,     22.213000,          3.037196,                    35.423239,      1.009000
                1530830760,           2018-07-05 22:46:00,           2018-07-05 22:46:00,      3.550000,     22.222000,          3.015260,                    35.173474,      1.009000
                1530831360,           2018-07-05 22:56:00,           2018-07-05 22:56:00,      3.540000,     22.205000,          3.121950,                    36.406142,      1.009000
                1530831960,           2018-07-05 23:06:00,           2018-07-05 23:06:00,      3.550000,     22.205000,          3.028222,                    35.313144,      1.009000
